"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 30 16:33:10 IST 2024","Sun Jun 30 16:33:10 IST 2024","1","Suite","Test","bootcamp2testng.EditAccount","bootcamp2testng.EditAccount","tearDown","tearDown",""
"passed","Sun Jun 30 16:35:50 IST 2024","Sun Jun 30 16:36:08 IST 2024","17550","Suite","Test","bootcamp2testng.EditAccount","bootcamp2testng.EditAccount","updateAccount","updateAccount",""
